Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,semi-supervised training/learning,training set includes both labeled and unlabeled data,,,,,,,,,,,,,,,,,,
,SEP,ends tokenizing,,,,,,,,,,,,,,,,,,
,sequence-to-sequence (Seq2Seq),A type of NN that converts one sequence of components into another,,,,,,,,,,,,,,,,,,
,sequence modeling,uses recurrent and recursive networks,,,,,,,,,,,,,,,,,,
,SHRDLU,1972 program by Terry Winograd,,,,,,,,,,,,,,,,,,
,sigmoid,"type of activation function = 1/(1+exp(-a)), transforms input to [0, 1]",,,,,,,,,,,,,,,,,,
,singing voice conversion,Converts source voice to target voice,,,,,,,,,,,,,,,,,,
,skip-gram,"Focuses on center word in a window of words and predicts context words around it. Generally contains input layer, weights, hidden layer and output containing the word embeddings, resulting in a d_model vector embedding for each word. Word2vec embedding approach is an example of a skipgram.",,,,,,,,,,,,,,,,,,
,sliding-block puzzles,"nxn matrices with one blank tile, initial state is random, goal state is ordered",,,,,,,,,,,,,,,,,,
,SOAR,"agent architecture by Newell, Laird and Rosenbloom",,,,,,,,,,,,,,,,,,
,softmax,Output layer activation function.,,,,,,,,,,,,,,,,,,
,source-free domain adaptation,transfer a pre-trained model to a target domain with unlabeled target data,,,,,,,,,,,,,,,,,,
,SP,Spectral envelope variable used in speech synthesis,,,,,,,,,,,,,,,,,,
,sparse representation,,,,,,,,,,,,,,,,,,,
,SQuAD,"Stanford Question Answering Dataset. Reading comprehension. V1.1, V2.0. BERT set standard with 93.2 on v1.1 (F1) and 83.1 on v2.0 (F1)",,,,,,,,,,,,,,,,,,
,squared loss,loss function,,,,,,,,,,,,,,,,,,
,SRM,Structural Risk Minimization learning rule,,,,,,,,,,,,,,,,,,
,Stanford Sentiment Treebank,,,,,,,,,,,,,,,,,,,
,STANLEY,Winner of DARPA Grand Challenge,,,,,,,,,,,,,,,,,,
,state estimation,maintaining the belief state,,,,,,,,,,,,,,,,,,
,steepest descent,,,,,,,,,,,,,,,,,,,
,stemming,a simpler version of lemmatization,,,,,,,,,,,,,,,,,,
,stochastic gradient descent,training algorithm,,,,,,,,,,,,,,,,,,
,structured prediction problems,"Context-free parsing, dependency parsing, named-entity recognition, part-of-speech tagging",,,,,,,,,,,,,,,,,,
,SuperGLUE,Leaderboard,,,,,,,,,,,,,,,,,,
,supervised learning,"Build a classifier of labeled x-y pairs: linear regression vs. logistic regression, SVM, Naïve Bayes",,,,,,,,,,,,,,,,,,
,Supervision,U Toronto DNN for image recognition,,,,,,,,,,,,,,,,,,
,support vector machine,"best known kernel method, linear form invented by Vapnik and Chervonenkis in 1964, republished in 1995 by Vapnik with Cortes",,,,,,,,,,,,,,,,,,
,SVCC,Singing Voice Conversion challenge,,,,,,,,,,,,,,,,,,
,SWAG,Situations with Adversarial Generations,,,,,,,,,,,,,,,,,,
,Switchboard,speech recognition,,,,,,,,,,,,,,,,,,
,t-SNE,optimize clusters,,,,,,,,,,,,,,,,,,
,T5,Model from HF,,,,,,,,,,,,,,,,,,
,Tacotron2,An encoder-attention-decoder acoustic model,,,,,,,,,,,,,,,,,,
,Talos,,,,,,,,,,,,,,,,,,,
,tangent distance,,,,,,,,,,,,,,,,,,,
,tangent drop,,,,,,,,,,,,,,,,,,,
,tanh,see hyperbolic tangent,,,,,,,,,,,,,,,,,,
,Taylor expansion,,,,,,,,,,,,,,,,,,,
,Theano,older ML framework,,,,,,,,,,,,,,,,,,
,Theseus,,,,,,,,,,,,,,,,,,,
,tokenize,represent each word with a token,,,,,,,,,,,,,,,,,,
,top-down tokenization,"define a standard, implement rules",,,,,,,,,,,,,,,,,,
,Torch7,"Started in 2007 by Ronan Collobert, based on Lush. Lua-based predecessor to PyTorch.",,,,,,,,,,,,,,,,,,
,total Turing test,a modified Turing Test requiring computer vision,,,,,,,,,,,,,,,,,,
,transductive inference,"Training data is labeled and unlabeled test points, but the objective is to predict labels only for unlabeled test points and not unseen test set data.",,,,,,,,,,,,,,,,,,
,transfer learning,,,,,,,,,,,,,,,,,,,
,transformer,"Google-invented NN in 2017. 6-layer encoder stack, 6-layer decoder stack. Encoder stack has two major sublayers: multi-headed attention mechanism and fully connected position-wise feedforward network.",,,,,,,,,,,,,,,,,,
,Transformer-TTS,,,,,,,,,,,,,,,,,,,
,Transformers,Huggingface library,,,,,,,,,,,,,,,,,,
,Trax,library by Google Brain,,,,,,,,,,,,,,,,,,
,trust region,numerical optimization idea,,,,,,,,,,,,,,,,,,
,txt2vec,"Acoustic model using vector-quantized acoustic feature instead of mel-spectrogram. A classification model rather than a traditional regression model. Uses labeled phoneme-level prosodies for all phonemes in advance. The text encoder consists of 6 Conformer blocks, which encode the input phonemes into hidden states h. ",,,,,,,,,,,,,,,,,,
,TTS,"text-to-speech. Current models include neural (wavenet, tacotron) and statistical parametric speech synthesis (spss).",,,,,,,,,,,,,,,,,,
,Turing Test,Proposed in 1950,,,,,,,,,,,,,,,,,,
,U-Net,,,,,,,,,,,,,,,,,,,
,underfitting,too simple function to achieve sufficiency predictive power,,,,,,,,,,,,,,,,,,
,universal approximation theorem,MLPs can represent any Borel measurable function,,,,,,,,,,,,,,,,,,
,unsupervised learning,minority vs. supervised,,,,,,,,,,,,,,,,,,
,unsupervised pre-training,DL technique,,,,,,,,,,,,,,,,,,
,VAE,Variational AutoEncoder,,,,,,,,,,,,,,,,,,
,vanishing gradient problem,Gradients become very small during backpropagation.,,,,,,,,,,,,,,,,,,
,vec2wav,"Vocoder used in VQTTS, uses an additional feature encoder before HifiGAN generation to smooth discontinuous quantized feature.",,,,,,,,,,,,,,,,,,
,vector quantization,can be applied to self-supervised feature extraction,,,,,,,,,,,,,,,,,,
,vectorize,convert tokens to vectors,,,,,,,,,,,,,,,,,,
,visible layer,The input or output layers. So called because we can see and understand them.,,,,,,,,,,,,,,,,,,
,VITS,Conditional variational autoencoder with adversarial learning. TTS Model. https://github.com/jaywalnut310/vits,,,,,,,,,,,,,,,,,,
,vllm,Competitor to Huggingface Transformers for inference,,,,,,,,,,,,,,,,,,txt2vec
,vocoder,"Generates waveform for TTS. GAN-based (MelGAN, HifiGAN). Universal-Vocoder",,,,,,,,,,,,,,,,,,
,VoxCeleb,"With VoxCeleb2, celebrity voice/video training set. https://www.robots.ox.ac.uk/~vgg/data/voxceleb/vox2.html",,,,,,,,,,,,,,,,,,
,VQTTS,"TTS approach consisting of acoustic model txt2vec and vocoder vec2wav. Adds log pitch, energy and probability of voice features for prosody.",,,,,,,,,,,,,,,,,,
,wav2vec,Multi-layer convolutional network optimized via contrastive loss. Extracts features to predict successive frames.,,,,,,,,,,,,,,,,,,
,WaveNet,Neural-based vocoder by Deepmind in 2016.,,,,,,,,,,,,,,,,,,
,WaveRNN,Neural-based vocoder,,,,,,,,,,,,,,,,,,
,weight decay,"regularizer, reduces the model's straining error",,,,,,,,,,,,,,,,,,
,weight initialization,"Important component of neural networks. Efforts started with layer-wise pretraining, which was abandoned.",,,,,,,,,,,,,,,,,,
,WiC,NLP test,,,,,,,,,,,,,,,,,,
,word embedding layer,Lookup table which represents each word as a vector,,,,,,,,,,,,,,,,,,
,word embedding vector,,,,,,,,,,,,,,,,,,,
,word2vec,Embedding scheme.,,,,,,,,,,,,,,,,,,
,WORLD,Vocoder,,,,,,,,,,,,,,,,,,
,Wu Dao 2.0,1.75T parameters,,,,,,,,,,,,,,,,,,
,X-CLIP,Microsoft video-to-text,,,,,,,,,,,,,,,,,,
,Xception,,,,,,,,,,,,,,,,,,,
,XGBoost,,,,,,,,,,,,,,,,,,,
,XLNet-Large,former GLUE leader,,,,,,,,,,,,,,,,,,
,XOR,exclusive OR cannot be approximated by linear models,,,,,,,,,,,,,,,,,,
,zero-one loss,also known as the misclassification loss function,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,HumanEval,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,vec2wav,
