NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Phases,Study Type
NCT01378195,iCare Stress Management e-Training for Dementia Family Caregivers,https://clinicaltrials.gov/study/NCT01378195,COMPLETED,Alzheimer's Disease|Dementia,BEHAVIORAL: CBT-based program for dementia caregivers|BEHAVIORAL: Educational/Resources program,"Photozig, Inc.",Stanford University|National Institute on Aging (NIA),PHASE2,INTERVENTIONAL
NCT05462106,A Study to Assess the Effects of ACI-24.060 in Alzheimer's Disease and in Down Syndrome (ABATE Study),https://clinicaltrials.gov/study/NCT05462106,RECRUITING,Alzheimer's Disease|Prodromal Alzheimer's Disease|Amyloid Plaque|Beta-Amyloid|Alzheimer's Disease in Down Syndrome,BIOLOGICAL: Placebo|BIOLOGICAL: ACI-24.060 at Dose A|BIOLOGICAL: ACI-24.060 at Dose B|BIOLOGICAL: ACI-24.060 at Dose C|BIOLOGICAL: ACI-24.060 at Dose D|BIOLOGICAL: Placebo|BIOLOGICAL: ACI-24.060 at Dose X|BIOLOGICAL: ACI-24.060 at Dose Y,AC Immune SA,Worldwide Clinical Trials,PHASE1|PHASE2,INTERVENTIONAL
NCT01117181,Apathy in Dementia Methylphenidate Trial (ADMET),https://clinicaltrials.gov/study/NCT01117181,COMPLETED,Apathy|Alzheimer's Disease,DRUG: Methylphenidate|DRUG: placebo|OTHER: Psychosocial intervention,Johns Hopkins Bloomberg School of Public Health,National Institute on Aging (NIA)|Medical University of South Carolina|Johns Hopkins University|University of Toronto,PHASE2,INTERVENTIONAL
NCT02690896,Caregiver Burden and Depression: Caring for Those Who Care for Others,https://clinicaltrials.gov/study/NCT02690896,COMPLETED,Dementia|Alzheimer's Disease,BEHAVIORAL: UCF Caregiver Support Group|BEHAVIORAL: Community Support Groups,University of Central Florida,Alzheimer's and Dementia Resource Center,,INTERVENTIONAL
NCT00303277,Do HMG CoA Reductase Inhibitors Affect Abeta Levels?,https://clinicaltrials.gov/study/NCT00303277,COMPLETED,Alzheimer's Disease|Aging,DRUG: simvastatin|DRUG: pravastatin,Seattle Institute for Biomedical and Clinical Research,,PHASE4,INTERVENTIONAL
NCT02346201,Apathy in Dementia Methylphenidate Trial 2,https://clinicaltrials.gov/study/NCT02346201,COMPLETED,Apathy|Alzheimer's Disease,DRUG: Methylphenidate|DRUG: Placebo,Johns Hopkins Bloomberg School of Public Health,National Institute on Aging (NIA),PHASE3,INTERVENTIONAL
NCT02045056,Modulation of Micro-RNA Pathways by Gemfibrozil in Predementia Alzheimer Disease,https://clinicaltrials.gov/study/NCT02045056,COMPLETED,Preclinical Alzheimer's Disease,DRUG: Gemfibrozil|DRUG: Placebo,"Gregory Jicha, 323-5550",,EARLY_PHASE1,INTERVENTIONAL
NCT06850597,Efficacy and Safety of Dimethyl Fumarate Among Patients with Mild Cognitive Impairment and Dementia Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06850597,RECRUITING,"MCI|MCI-AD, Early Stage Alzheimer's Disease|Alzheimer's Disease",DRUG: dimethyl fumarate,Medical University of Lodz,,PHASE2,INTERVENTIONAL
NCT06477484,Blood Biomarkers for Screening of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06477484,RECRUITING,Alzheimer's Disease|Blood Biomarkers,DIAGNOSTIC_TEST: Blood biomarker,Peking University First Hospital,,,OBSERVATIONAL
NCT01652222,"Experimental Study to Validate the ""Therapeutic Game"" CONEM-BETA",https://clinicaltrials.gov/study/NCT01652222,COMPLETED,Alzheimer's Disease|Dementia,OTHER: CONEM-BETA + socio-educational training|OTHER: Socio-educational training only,"Barcelonabeta Brain Research Center, Pasqual Maragall Foundation",Fundacion SARquavitae,,INTERVENTIONAL
NCT00407576,PET Imaging of Brain Amyloid Using [11C]MeS-IMPY,https://clinicaltrials.gov/study/NCT00407576,COMPLETED,Alzheimer's Disease|Healthy,DRUG: [11C]MeS-IMPY,National Institute of Mental Health (NIMH),,PHASE1,INTERVENTIONAL
NCT00001977,The Effect of Acetylcholine on Memory and Attention,https://clinicaltrials.gov/study/NCT00001977,COMPLETED,Alzheimer's Disease|Healthy,,National Institute of Mental Health (NIMH),,,OBSERVATIONAL
NCT01454453,Optimisation of Antipsychotic Drug Use in Older People,https://clinicaltrials.gov/study/NCT01454453,TERMINATED,Alzheimer's Disease|Schizophrenia,DRUG: Patients- dose titration,"Institute of Psychiatry, London",,PHASE4,INTERVENTIONAL
NCT01038726,Effects of Exercise and Cognitive Training on Cognitive Function in Older Adults,https://clinicaltrials.gov/study/NCT01038726,COMPLETED,Aging|Alzheimer's Disease,OTHER: Exercise Training|OTHER: Cognitive Training|OTHER: Flexibility Training|OTHER: Educational Sessions,The Cleveland Clinic,National Institutes of Health (NIH),,INTERVENTIONAL
NCT02264899,MEMENTO-VAScular COmponents of Dementia,https://clinicaltrials.gov/study/NCT02264899,COMPLETED,Alzheimer's Disease (AD)|Alzheimer's Disease (AD) Related Disorders,OTHER: in Memento-VASCOD,"University Hospital, Bordeaux","Ministry for Health and Solidarity, France",,INTERVENTIONAL
NCT00692510,Drug Interaction Study Between AZD3480 and Cytochrome P450,https://clinicaltrials.gov/study/NCT00692510,COMPLETED,Metabolism|Alzheimer's Disease,"DRUG: AZD3480|DRUG: Placebo|DRUG: Cocktail mix (Caffeine, Bupropion, Rosiglitazone, Omeprazole, Midazolam, Bilirubin)",AstraZeneca,,PHASE1,INTERVENTIONAL
NCT06546995,Study to Evaluate the Effects of NMRA-323511 Among Healthy Elderly and Adults With Agitation Associated With Dementia Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06546995,RECRUITING,Alzheimer's Disease|Healthy Elderly,DRUG: NMRA-323511|DRUG: Placebo,"Neumora Therapeutics, Inc.",,PHASE1,INTERVENTIONAL
NCT04928976,Amyloid Prediction in Early Stage Alzheimer's Disease Through Speech Phenotyping,https://clinicaltrials.gov/study/NCT04928976,COMPLETED,Alzheimer Disease|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Alzheimer's Disease (Incl Subtypes)|Mild Cognitive Impairment,,Novoic Limited,,,OBSERVATIONAL
NCT00010803,Ginkgo Biloba Prevention Trial in Older Individuals,https://clinicaltrials.gov/study/NCT00010803,COMPLETED,Dementia|Alzheimer's Disease,DRUG: Ginkgo biloba|DRUG: Placebo,National Center for Complementary and Integrative Health (NCCIH),"Office of Dietary Supplements (ODS)|National Institute of Neurological Disorders and Stroke (NINDS)|National Institute on Aging (NIA)|National Heart, Lung, and Blood Institute (NHLBI)",PHASE3,INTERVENTIONAL
NCT03710642,Prazosin for Agitation in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03710642,COMPLETED,Alzheimer's Disease|Disruptive Behavior,DRUG: Prazosin|DRUG: Placebo oral capsule,Alzheimer's Disease Cooperative Study (ADCS),National Institute on Aging (NIA)|VA Puget Sound Health Care System|Alzheimer's Association,PHASE2,INTERVENTIONAL
NCT03055741,Study of DHP1401 in Patients With Mild-moderate Alzheimer's Disease Treated With Donepezil(DRAMA),https://clinicaltrials.gov/study/NCT03055741,COMPLETED,Mild-moderate Alzheimer's Disease,DRUG: Donepezil|DRUG: DHP1401|DRUG: Placebo,"Daehwa Pharmaceutical Co., Ltd.",,PHASE2,INTERVENTIONAL
NCT02467413,BAC in Patient With Alzheimer's Disease or Vascular Dementia,https://clinicaltrials.gov/study/NCT02467413,WITHDRAWN,Alzheimer's Disease|Vascular Dementia,DRUG: BAC|OTHER: BAC Matched Vehicle,Charsire Biotechnology Corp.,A2 Healthcare Taiwan Corporation,PHASE2,INTERVENTIONAL
NCT05397639,Masupirdine for the Treatment of Agitation in Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT05397639,RECRUITING,Agitation|Alzheimer's Type Dementia,DRUG: Masupirdine 50 mg|DRUG: Masupirdine 100 mg|DRUG: Placebo,Suven Life Sciences Limited,,PHASE3,INTERVENTIONAL
NCT02500784,Improving Beta-2 Adrenergic Signaling in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02500784,WITHDRAWN,Alzheimer's Disease|Cognitive Dysfunction,DRUG: Formoterol A|OTHER: Formoterol B (placebo),Palo Alto Veterans Institute for Research,Alzheimer's Association|Mylan Inc.,PHASE2,INTERVENTIONAL
NCT06033066,Financial Incentives and Recruitment to the APT Webstudy,https://clinicaltrials.gov/study/NCT06033066,RECRUITING,Alzheimer Disease|Dementia|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease,BEHAVIORAL: Financial Incentives|BEHAVIORAL: Message,University of Southern California,American Heart Association|Schaeffer Center for Health Policy & Economics|Alzheimer's Therapeutic Research Institute,,INTERVENTIONAL
NCT04718207,Modelling in the Quantitative Analysis of Brain PET Scans in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04718207,COMPLETED,Patients With Alzheimer's Disease,DEVICE: Brain positron emission tomopgraphy (PET) - scan,"Central Hospital, Nancy, France",,,OBSERVATIONAL
NCT02109705,Porphyromonas Gingivalis and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02109705,COMPLETED,Alzheimer's Disease|Dementia|Periodontitis,,University Hospital Muenster,University of Bern,,OBSERVATIONAL
NCT02649985,Microglial Activation Positron Emission Tomography (PET) Brain Imaging in Multiple Sclerosis and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02649985,UNKNOWN,Multiple Sclerosis|Alzheimer's Disease,DRUG: [F-18]PBR06|DRUG: [C-11]PBR28,Brigham and Women's Hospital,,PHASE1|PHASE2,INTERVENTIONAL
NCT02549196,A Dose Titration Study of CPC-201 in Patients With Dementia of Alzheimer's Type,https://clinicaltrials.gov/study/NCT02549196,COMPLETED,Dementia of Alzheimer's Type,DRUG: Donepezil|DRUG: Solifenacin,"Chase Pharmaceuticals Corporation, an affiliate of Allergan plc",,PHASE2,INTERVENTIONAL
NCT02246075,Study of the Safety of Two Doses of Investigational Study Drug EVP-6124 in Subjects With Alzheimer's Disease Currently Receiving Memantine,https://clinicaltrials.gov/study/NCT02246075,WITHDRAWN,Alzheimer's Disease|Dementia|Cognition,DRUG: EVP-6124,FORUM Pharmaceuticals Inc,"Quintiles, Inc.",PHASE2,INTERVENTIONAL
NCT02759887,Relationship Between Down Syndrome (DS) and Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT02759887,COMPLETED,Down Syndrome|Alzheimer's Dementia,PROCEDURE: biospecimen collection|OTHER: cognitive assessments|OTHER: caregiver questionnaire|PROCEDURE: Florbetapir F18 imaging|PROCEDURE: MRI|PROCEDURE: Fludeoxyglucose F18 (FDG)|PROCEDURE: Tau Pet|PROCEDURE: Actigraphy,"St. Joseph's Hospital and Medical Center, Phoenix","Banner Alzheimer's Institute, Phoenix|Translational Genomics Research Institute (TGEN), Phoenix",,INTERVENTIONAL
NCT03056729,Single-Ascending-Dose Study of BIIB076 in Healthy Volunteers and Participants With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03056729,COMPLETED,Alzheimer's Disease|Healthy Volunteer,DRUG: BIIB076|DRUG: Placebo,Biogen,,PHASE1,INTERVENTIONAL
NCT03234686,Deferiprone to Delay Dementia (The 3D Study),https://clinicaltrials.gov/study/NCT03234686,COMPLETED,Mild Cognitive Impairment|Prodromal Alzheimer's Disease|Mild Alzheimer's Disease,DRUG: Deferiprone 600mg delayed release tablets|DRUG: Placebo Oral Tablet,Neuroscience Trials Australia,The Florey Institute of Neuroscience and Mental Health,PHASE2,INTERVENTIONAL
NCT05792163,A First Time in Human Study of SNP318 as a Treatment for Neurodegenerative Diseases Including Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05792163,COMPLETED,Neurodegenerative Diseases|Alzheimer's Disease,DRUG: SNP318 (A)|DRUG: Placebo (B),SciNeuro,,PHASE1,INTERVENTIONAL
NCT00965835,Amyloid Plaque and Tangle Imaging in Alzheimer's Disease and Down Syndrome,https://clinicaltrials.gov/study/NCT00965835,UNKNOWN,Down Syndrome|Alzheimer's Disease,,National Institute on Aging (NIA),,,OBSERVATIONAL
NCT05655195,Chronic Treatment of Alzheimer's Disease by Gamma Light and Sound Therapy,https://clinicaltrials.gov/study/NCT05655195,RECRUITING,"Alzheimer Disease|Alzheimer Disease, Early Onset|Alzheimer Disease, Late Onset|Alzheimer's Disease (Incl Subtypes)|Alzheimer's|Alzheimer's Disease",DEVICE: GENUS device (Active Settings)|DEVICE: GENUS device (sham settings),Massachusetts Institute of Technology,,,INTERVENTIONAL
NCT00172900,MRS and DTI of White Matter in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00172900,UNKNOWN,Alzheimer's Disease|Vascular Dementia,,National Taiwan University Hospital,,,OBSERVATIONAL
NCT01890343,"Imaging Characteristics of Florbetapir 18F in Patients With Frontotemporal Dementia, Alzheimer's Disease and Normal Controls.",https://clinicaltrials.gov/study/NCT01890343,COMPLETED,Alzheimer's Disease|Frontotemporal Dementia,DRUG: florbetapir 18F|DRUG: 18F-FDG,Avid Radiopharmaceuticals,,PHASE2,INTERVENTIONAL
NCT05399888,A Study to Learn About the Safety of BIIB080 Injections and Whether They Can Improve Symptoms of Participants With Mild Cognitive Impairment Due to Alzheimer's Disease (AD) or Mild AD Dementia Between 50 to 80 Years of Age,https://clinicaltrials.gov/study/NCT05399888,ACTIVE_NOT_RECRUITING,Mild Cognitive Impairment Due to Alzheimer's Disease|Alzheimer's Disease Dementia,DRUG: BIIB080|DRUG: BIIB080-matching placebo,Biogen,,PHASE2,INTERVENTIONAL
NCT00031018,Prevention of Cognitive Decline in Alzheimer's Disease by Ingested Interferon Alpha,https://clinicaltrials.gov/study/NCT00031018,UNKNOWN,Memory Disorders|Alzheimer's Disease,DRUG: Aricept|DRUG: IFN-alpha2A,National Center for Research Resources (NCRR),Pfizer,PHASE2,INTERVENTIONAL
NCT02141971,Down Syndrome Biomarker Initiative (DSBI),https://clinicaltrials.gov/study/NCT02141971,COMPLETED,Down Syndrome|Alzheimer's Disease,,Michael Rafii,"Janssen Research & Development, LLC",,OBSERVATIONAL
NCT00814697,Effect of Repetitive Transcranial Magnetic Stimulation on Language in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00814697,COMPLETED,Alzheimer's Disease|Aphasia|Dementia,DEVICE: Repetitive Transcranial Magnetic Coil Stimulation (rTMS),The New York Memory Services,,PHASE2,INTERVENTIONAL
NCT02187627,"Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants",https://clinicaltrials.gov/study/NCT02187627,COMPLETED,"Alzheimer's Disease, Healthy Volunteer",DRUG: [11C]RO6924963|DRUG: [11C]RO6931643|DRUG: [18F]RO6958948,Hoffmann-La Roche,,PHASE1,INTERVENTIONAL
NCT06234930,"The Feasibility, Safety and Tolerability of VR-based Audiovisual Stimulation",https://clinicaltrials.gov/study/NCT06234930,RECRUITING,Healthy Aging|Alzheimer's Disease,DEVICE: Audiovisual stimulation VR system,"Clarity Health Technologies, Inc",,,INTERVENTIONAL
NCT00391833,Effect of Panax Ginseng on the Cognitive Performance in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00391833,COMPLETED,Alzheimer's Disease|Memory Decline,DRUG: Panax Ginseng,Seoul National University Hospital,,PHASE1|PHASE2,INTERVENTIONAL
NCT06556966,A Study Assessing the Safety and Tolerability of LY03020 in Chinese Healthy Subjects,https://clinicaltrials.gov/study/NCT06556966,COMPLETED,Schizophrenia|Alzheimer's Disease Psychosis,DRUG: LY03020|DRUG: Placebo,Luye Pharma Group Ltd.,,PHASE1,INTERVENTIONAL
NCT02910739,An Open-Label Study Investigating MK-8931 in Participants With Mild and Moderate Hepatic Insufficiency (MK-8931-016),https://clinicaltrials.gov/study/NCT02910739,COMPLETED,Amnestic Mild Cognitive Impairment|Alzheimer's Disease|Prodromal Alzheimer's Disease,DRUG: MK-8931,Merck Sharp & Dohme LLC,,PHASE1,INTERVENTIONAL
NCT00889603,Non-Interventional Study With AriceptÂ® Evess,https://clinicaltrials.gov/study/NCT00889603,COMPLETED,Alzheimer's Disease|Vascular Dementia,DRUG: AriceptÂ® Evess,Pfizer,,,OBSERVATIONAL
NCT05837819,Methodology Issues in a Tailored Light Treatment for Persons With Dementia - Aim 2,https://clinicaltrials.gov/study/NCT05837819,COMPLETED,Alzheimer's Disease|Sleep Disturbance,DEVICE: Active Lighting Intervention|DEVICE: Control Lighting Intervention,Icahn School of Medicine at Mount Sinai,,,INTERVENTIONAL
NCT04937959,Amyloid Prediction in Early Stage Alzheimer's Disease Through Speech Phenotyping - PAST Extension,https://clinicaltrials.gov/study/NCT04937959,UNKNOWN,Alzheimer Disease|Alzheimer's Disease (Incl Subtypes)|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Mild Cognitive Impairment|Normal Cognition,,Novoic Limited,,,OBSERVATIONAL
NCT06182085,Study to Assess Safety and Efficacy of PRI-002 in Patients With MCI to Mild Dementia Due to Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT06182085,ACTIVE_NOT_RECRUITING,"Mild Cognitive Impairment Due to Alzheimer's Disease|Alzheimer's Disease, Early Onset",DRUG: PRI-002|DRUG: Placebo,PRInnovation GmbH,Priavoid|Federal Agency for Disruptive Innovation - SPRIN-D|Julius Clinical,PHASE2,INTERVENTIONAL
NCT02836054,Study of Degenerescence CSF Hallmarks in Older Bipolar Patients,https://clinicaltrials.gov/study/NCT02836054,UNKNOWN,Bipolar Disorder|Alzheimer's Disease,PROCEDURE: lumbar puncture (LP)|PROCEDURE: brain MRI,"University Hospital, Grenoble",,,INTERVENTIONAL
NCT00814346,Effect of EGb761Â® on Brain Glucose Metabolism in Three Groups of Elderly Defined by Cognitive Functions,https://clinicaltrials.gov/study/NCT00814346,COMPLETED,Alzheimer's Disease|Cognitive Impairment,DRUG: EGb761Â®|DRUG: Placebo,Ipsen,,PHASE2,INTERVENTIONAL
NCT01701089,A Study of RO4602522 in Patients With Alzheimer Disease and in Healthy Volunteers,https://clinicaltrials.gov/study/NCT01701089,COMPLETED,"Healthy Volunteer, Alzheimer's Disease",DRUG: 11C-L-deprenyl-D2|DRUG: RO4602522|DRUG: RO4602522,Hoffmann-La Roche,,PHASE1,INTERVENTIONAL
NCT02654574,"Comparison of Two Modes of Administration of the IADL Questionnaire, Assessing the Level of Functional Autonomy of Patients to Carry Out the Tasks of Daily Living: Randomized Controlled Trial Among Patients of a Memory Clinic",https://clinicaltrials.gov/study/NCT02654574,COMPLETED,Alzheimer's Disease|Dementia Disorders,OTHER: IADL administration by phone,Hospices Civils de Lyon,,,INTERVENTIONAL
NCT02147652,Personalized Music Therapy and Agitation in Dementia,https://clinicaltrials.gov/study/NCT02147652,UNKNOWN,Alzheimer's Disease|Vascular Dementia,OTHER: Personalized music,"University Health Network, Toronto",,,INTERVENTIONAL
NCT00988624,A Study In Healthy Volunteers To Estimate The Pharmacokinetics Of Four Modified-Release Formulations Of Dimebon (Latrepirdine),https://clinicaltrials.gov/study/NCT00988624,COMPLETED,Alzheimer's Disease|Huntington Disease,DRUG: Dimebon IR Tablet|DRUG: Dimebon MR1|DRUG: Dimebon MR2|DRUG: Dimebon MR3|DRUG: Dimebon MR4,Pfizer,"Medivation, Inc.",PHASE1,INTERVENTIONAL
NCT03002142,Auditory Rehabilitation and Cognition in Alzheimer Patients,https://clinicaltrials.gov/study/NCT03002142,COMPLETED,Alzheimer's Disease|Hearing Loss,DEVICE: Hearing aids|DEVICE: Placebo,"University Hospital, Tours",,,INTERVENTIONAL
NCT06230783,Speech Pattern Evaluation and Analysis for Knowledge of AD,https://clinicaltrials.gov/study/NCT06230783,RECRUITING,Wisconsin Alzheimer's Disease Research Center|Wisconsin Registry for Alzheimer's Prevention,OTHER: TalkTracker,"University of Wisconsin, Madison",Arizona State University|National Institute on Aging (NIA),,OBSERVATIONAL
NCT02921672,Feasibility Trial of a Mediterranean Diet Pattern to Prevent Cognitive Decline,https://clinicaltrials.gov/study/NCT02921672,COMPLETED,Alzheimer's Disease|Cognitive Impairment,OTHER: Mediterranean Diet,University of Kansas Medical Center,National Institute on Aging (NIA),,INTERVENTIONAL
NCT00940589,Efficacy of CircadinÂ® 2 mg in Patients With Mild to Moderate Alzheimer Disease Treated With AChE Inhibitor,https://clinicaltrials.gov/study/NCT00940589,COMPLETED,Alzheimer's Disease|Sleep Disorder,DRUG: Circadin|DRUG: Placebo,Neurim Pharmaceuticals Ltd.,,PHASE2,INTERVENTIONAL
NCT00260624,Escitalopram Treatment of Patients With Agitated Dementia,https://clinicaltrials.gov/study/NCT00260624,COMPLETED,Alzheimer's Disease|Psychomotor Agitation,DRUG: Escitalopram (Lexapro),University of Rochester,Forest Laboratories,PHASE4,INTERVENTIONAL
NCT00621647,Seroquel- Agitation Associated With Dementia,https://clinicaltrials.gov/study/NCT00621647,COMPLETED,Alzheimer's Disease|Vascular Dementia,DRUG: Quetiapine Fumarate|DRUG: Quetiapine Fumarate|DRUG: Placebo,AstraZeneca,,PHASE3,INTERVENTIONAL
NCT05267028,Rehabilitation of Facial Emotion Recognition in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05267028,COMPLETED,Alzheimer's Dementia (AD)|Family Caregivers,OTHER: AD-TAR|OTHER: AD-Cognitive Stimulation,Association de Recherche Bibliographique pour les Neurosciences,Centre Hospitalier Princesse Grace|Universite Cote d'Azur,,OBSERVATIONAL
NCT02300584,"Distance Savvy: Testing Tele-Savvy, a Distance Dementia Family Caregiver Education Program",https://clinicaltrials.gov/study/NCT02300584,COMPLETED,Dementia|Alzheimer's Disease|Depression,BEHAVIORAL: Tele-Savvy|BEHAVIORAL: Tele-Savvy|OTHER: iPad,Emory University,,,INTERVENTIONAL
NCT06008639,Efficacy and Safety of Near Infrared Light Therapy for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06008639,ENROLLING_BY_INVITATION,Mild to Moderate Alzheimer's Disease,DEVICE: treatment group-Device: NirsCure - Active NirsCure - Active settings|DEVICE: placebo group-Device: NirsCure - Sham NirsCure - Sham settings,"Danyang Huichuang Medical Equipment Co., Ltd.",Rehabilitation Hospital Affiliated to National Research Center for Rehabilitation Technical Aids|First Affiliated Hospital of Chongqing Medical University,,INTERVENTIONAL
NCT02051335,Roflumilast and Donepezil to Reverse Scopolamine Induced Cognitive Deficits in Healthy Adults,https://clinicaltrials.gov/study/NCT02051335,COMPLETED,Memory Impairment|Alzheimer's Disease,DRUG: Roflumilast|DRUG: Roflumilast placebo|DRUG: Donepezil|DRUG: Donepezil placebo|DRUG: Scopolamine,AstraZeneca,,PHASE1,INTERVENTIONAL
NCT04141150,Evaluation of [18F]APN-1607 PET Uptake in Alzheimer's Disease Patients Compared With Healthy Subjects,https://clinicaltrials.gov/study/NCT04141150,UNKNOWN,Alzheimer's Disease|Mild Cognitive Impairment Due to Alzheimer's Disease|Healthy Volunteers,DRUG: [18F]APN-1607,"APRINOIA Therapeutics, LLC",,PHASE2,INTERVENTIONAL
NCT02018913,Blood-brain Barrier Leakage in Dementia. A Dynamic Contrast-enhanced MRI Study,https://clinicaltrials.gov/study/NCT02018913,UNKNOWN,Alzheimer's Disease|Vascular Dementia,,Maastricht University Medical Center,Netherlands Alzheimer Foundation,,OBSERVATIONAL
NCT05040321,Sirtuin-NAD Activator in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05040321,RECRUITING,Alzheimer's Disease (Incl Subtypes)|Dementia,DRUG: MIB-626|DRUG: Placebo,Brigham and Women's Hospital,,PHASE1|PHASE2,INTERVENTIONAL
NCT03061474,Nicotinamide as an Early Alzheimer's Disease Treatment,https://clinicaltrials.gov/study/NCT03061474,COMPLETED,Alzheimer's Disease|Mild Cognitive Impairment,DRUG: Nicotinamide|DRUG: Placebo Comparator,"University of California, Irvine",,PHASE2,INTERVENTIONAL
NCT02864303,Use of Saliva for Alzheimer's Disease Diagnosis,https://clinicaltrials.gov/study/NCT02864303,TERMINATED,Alzheimer's Disease|Mild Cognitive Impairment,OTHER: Saliva samples,"University Hospital, Montpellier",,,INTERVENTIONAL
NCT01594346,Multicenter Vitamin E Trial in Aging Persons With Down Syndrome,https://clinicaltrials.gov/study/NCT01594346,COMPLETED,Alzheimer's Disease|Down Syndrome,DRUG: Alpha-Tocopherol|DRUG: Sugar Pill,New York State Institute for Basic Research,"National Institute on Aging (NIA)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Center for Complementary and Integrative Health (NCCIH)|New York State Psychiatric Institute|University of California, San Diego|Columbia University|Bronx Veterans Medical Research Foundation, Inc",PHASE3,INTERVENTIONAL
NCT00990613,A Study Evaluating The Absorption Of Dimebon Into The Body From A Dimebon Solution Applied To The Skin,https://clinicaltrials.gov/study/NCT00990613,COMPLETED,Alzheimer's Disease|Huntington's Disease,DRUG: Dimebon IR|DRUG: Dimebon Transdermal|DRUG: Dimebon Transdermal|DRUG: Dimebon IR|DRUG: Dimebon Transdermal,Pfizer,"Medivation, Inc.",PHASE1,INTERVENTIONAL
NCT00975481,A Study To Evaluate The Abuse Potential Of Single Oral Doses Of Dimebon (Latrepirdine) In Healthy Recreational Polydrug Users,https://clinicaltrials.gov/study/NCT00975481,COMPLETED,Alzheimer's Disease|Huntington's Disease,DRUG: dimebon|DRUG: dimebon|DRUG: dimebon|DRUG: placebo|DRUG: alprazolam|DRUG: alprazolam,Pfizer,"Medivation, Inc.",PHASE1,INTERVENTIONAL
NCT00966017,"Glucose Metabolic, Amyloid, and Tau Brain Imaging in Down Syndrome and Dementia",https://clinicaltrials.gov/study/NCT00966017,UNKNOWN,Down Syndrome|Alzheimer's Disease,,National Institute on Aging (NIA),,,OBSERVATIONAL
NCT06887192,A Study to Assess the Efficacy and Safety of ML-007C-MA for the Treatment of Alzheimer's Disease Psychosis,https://clinicaltrials.gov/study/NCT06887192,NOT_YET_RECRUITING,Psychosis Associated With Alzheimer's Disease,DRUG: ML-007C-MA|DRUG: Placebo,MapLight Therapeutics,,PHASE2,INTERVENTIONAL
NCT03625622,Efficacy and Safety of 26-Week Treatment of AR1001 in Patients With Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03625622,COMPLETED,Mild to Moderate Alzheimer's Disease,DRUG: AR1001|DRUG: Placebo,"AriBio Co., Ltd.",,PHASE2,INTERVENTIONAL
NCT00931073,A Phase I Study To Estimate The Effect Of Ketoconazole And Omeprazole On The Pharmacokinetics Of Dimebon In Healthy Subjects Who Are Normal Or Poor CYP2D6 Metabolizers,https://clinicaltrials.gov/study/NCT00931073,COMPLETED,Alzheimer's Disease|Huntington's Disease,DRUG: Dimebon alone|DRUG: Dimebon + Ketoconazole|DRUG: Dimebon + Omeprazole,Pfizer,"Medivation, Inc.",PHASE1,INTERVENTIONAL
NCT04798989,A Study of the Effects of CY6463 in Participants With Alzheimer's Disease With Vascular Pathology,https://clinicaltrials.gov/study/NCT04798989,TERMINATED,Alzheimer's Disease With Vascular Pathology,DRUG: CY6463|DRUG: Placebo,Tisento Therapeutics,,PHASE2,INTERVENTIONAL
NCT00827034,"A Phase 1, Randomized, Open-Label, Two-Way Crossover Study To Evaluate The Steady-State Effect Of Dimebon (PF 01913539) On The Single-Dose Pharmacokinetics And Pharmacodynamics Of Warfarin In Healthy Subjects",https://clinicaltrials.gov/study/NCT00827034,COMPLETED,Alzheimer's Disease|Huntington's Disease,DRUG: Warfarin|DRUG: Dimebon|DRUG: Warfarin,Pfizer,"Medivation, Inc.",PHASE1,INTERVENTIONAL
